ID,Value,C
Upper Merion Township,13,0
Cheltenham Township,28,1
Bridgeport Borough,0,0
Jenkintown Borough,2,0
Conshohocken Borough,5,0
Rockledge Borough,0,0
West Conshohocken Borough,0,0
Lower Merion Township,68,0
Upper Hanover Township,1,0
East Greenville Borough,0,0
Pennsburg Borough,0,0
West Pottsgrove Township,1,0
Montgomery Township,6,0
Towamencin Township,4,0
Pottstown Borough,5,0
Schwenksville Borough,2,0
Perkiomen Township,4,0
Lansdale Borough,4,0
Skippack Township,6,0
Upper Gwynedd Township,4,0
Horsham Township,7,0
Worcester Township,10,0
Narberth Borough,2,0
Limerick Township,8,0
Royersford Borough,1,0
West Norriton Township,5,0
Abington Township,31,2
Upper Providence Township,11,0
North Wales Borough,0,0
Lower Gwynedd Township,9,0
Trappe Borough,1,0
Collegeville Borough,3,0
Lower Providence Township,27,0
Whitpain Township,10,0
Upper Moreland Township,4,0
Hatboro Borough,1,0
Upper Dublin Township,14,0
East Norriton Township,6,0
Ambler Borough,5,0
Lower Moreland Township,10,0
Bryn Athyn Borough,0,0
Douglass Township,1,0
Marlborough Township,0,0
Red Hill Borough,0,0
New Hanover Township,2,0
Salford Township,1,0
Upper Frederick Township,3,0
Green Lane Borough,0,0
Franconia Township,0,0
Upper Salford Township,0,0
Telford Borough,0,0
Souderton Borough,3,0
Lower Frederick Township,0,0
Hatfield Township,2,0
Upper Pottsgrove Township,1,0
Lower Salford Township,4,0
Hatfield Borough,0,0
Lower Pottsgrove Township,2,0
Whitemarsh Township,9,1
Plymouth Township,9,0
Norristown Borough,4,0
Springfield Township,12,0